Scanner

TOKEN(STRUCT, "struct")

TOKEN(LBRACE, "{")

TOKEN(DOSPUNTOS, ":")

TOKEN(SEMICOL, ";")

TOKEN(DOSPUNTOS, ":")

TOKEN(SEMICOL, ";")
TOKEN(RBRACE, "}")
TOKEN(CONST, "const")

TOKEN(DOSPUNTOS, ":")

TOKEN(ASSIGN, "=")
TOKEN(NUMDECIMAL, "100")
TOKEN(SEMICOL, ";")
TOKEN(FN, "fn")

TOKEN(MENOR, "<")
TOKEN(TYPE, "type")
TOKEN(MENOR, "<")

TOKEN(MAYOR, ">")
TOKEN(MAYOR, ">")
TOKEN(LPAREN, "(")

TOKEN(DOSPUNTOS, ":")

TOKEN(COMA, ",")

TOKEN(DOSPUNTOS, ":")

TOKEN(COMA, ",")

TOKEN(DOSPUNTOS, ":")

TOKEN(RPAREN, ")")
TOKEN(DOSPUNTOS, ":")

TOKEN(LBRACE, "{")
TOKEN(IF, "if")
TOKEN(LPAREN, "(")

TOKEN(MENOR, "<")

TOKEN(RPAREN, ")")
TOKEN(THEN, "then")
TOKEN(LBRACE, "{")
TOKEN(RETURN, "return")

TOKEN(SEMICOL, ";")
TOKEN(RBRACE, "}")
TOKEN(ELSE, "else")
TOKEN(THEN, "then")
TOKEN(LBRACE, "{")
TOKEN(IF, "if")
TOKEN(LPAREN, "(")

TOKEN(MAYOR, ">")

TOKEN(RPAREN, ")")
TOKEN(THEN, "then")
TOKEN(LBRACE, "{")
TOKEN(RETURN, "return")

TOKEN(SEMICOL, ";")
TOKEN(RBRACE, "}")
TOKEN(ELSE, "else")
TOKEN(THEN, "then")
TOKEN(LBRACE, "{")
TOKEN(RETURN, "return")

TOKEN(SEMICOL, ";")
TOKEN(RBRACE, "}")
TOKEN(RBRACE, "}")
TOKEN(RBRACE, "}")
TOKEN(PUB, "pub")
TOKEN(FN, "fn")

TOKEN(LPAREN, "(")

TOKEN(DOSPUNTOS, ":")

TOKEN(COMA, ",")

TOKEN(DOSPUNTOS, ":")

TOKEN(COMA, ",")

TOKEN(DOSPUNTOS, ":")

TOKEN(RPAREN, ")")

TOKEN(LBRACE, "{")
TOKEN(VAR, "var")

TOKEN(ASSIGN, "=")
TOKEN(NUMDECIMAL, "0")
TOKEN(SEMICOL, ";")
TOKEN(WHILE, "while")
TOKEN(LPAREN, "(")

TOKEN(MENOR, "<")

TOKEN(RPAREN, ")")
TOKEN(LBRACE, "{")
TOKEN(VAR, "var")

TOKEN(ASSIGN, "=")

TOKEN(LCORCHETE, "[")

TOKEN(RCORCHETE, "]")
TOKEN(SEMICOL, ";")
TOKEN(IF, "if")
TOKEN(LPAREN, "(")

TOKEN(IGUALIGUAL, "==")

TOKEN(RPAREN, ")")
TOKEN(THEN, "then")
TOKEN(LBRACE, "{")
TOKEN(RETURN, "return")

TOKEN(SEMICOL, ";")
TOKEN(RBRACE, "}")

TOKEN(ASSIGN, "=")

TOKEN(PLUS, "+")
TOKEN(NUMDECIMAL, "1")
TOKEN(SEMICOL, ";")
TOKEN(RBRACE, "}")
TOKEN(RETURN, "return")
TOKEN(MINUS, "-")
TOKEN(NUMDECIMAL, "1")
TOKEN(SEMICOL, ";")
TOKEN(RBRACE, "}")
TOKEN(PUB, "pub")
TOKEN(FN, "fn")

TOKEN(LPAREN, "(")
TOKEN(RPAREN, ")")

TOKEN(LBRACE, "{")
TOKEN(VAR, "var")

TOKEN(ASSIGN, "=")
TOKEN(NEW, "new")

TOKEN(SEMICOL, ";")

TOKEN(LCORCHETE, "[")
TOKEN(NUMDECIMAL, "0")
TOKEN(RCORCHETE, "]")
TOKEN(ASSIGN, "=")
TOKEN(NUMDECIMAL, "10")
TOKEN(SEMICOL, ";")

TOKEN(LCORCHETE, "[")
TOKEN(NUMDECIMAL, "1")
TOKEN(RCORCHETE, "]")
TOKEN(ASSIGN, "=")
TOKEN(NUMDECIMAL, "25")
TOKEN(SEMICOL, ";")

TOKEN(LCORCHETE, "[")
TOKEN(NUMDECIMAL, "2")
TOKEN(RCORCHETE, "]")
TOKEN(ASSIGN, "=")
TOKEN(NUMDECIMAL, "50")
TOKEN(SEMICOL, ";")

TOKEN(LCORCHETE, "[")
TOKEN(NUMDECIMAL, "3")
TOKEN(RCORCHETE, "]")
TOKEN(ASSIGN, "=")
TOKEN(NUMDECIMAL, "75")
TOKEN(SEMICOL, ";")

TOKEN(LCORCHETE, "[")
TOKEN(NUMDECIMAL, "4")
TOKEN(RCORCHETE, "]")
TOKEN(ASSIGN, "=")
TOKEN(NUMDECIMAL, "100")
TOKEN(SEMICOL, ";")
TOKEN(VAR, "var")

TOKEN(ASSIGN, "=")

TOKEN(LPAREN, "(")
TOKEN(NUMDECIMAL, "25")
TOKEN(COMA, ",")

TOKEN(COMA, ",")
TOKEN(NUMDECIMAL, "5")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")

TOKEN(LPAREN, "(")

TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(VAR, "var")

TOKEN(ASSIGN, "=")

TOKEN(LPAREN, "(")
TOKEN(NUMDECIMAL, "99")
TOKEN(COMA, ",")

TOKEN(COMA, ",")
TOKEN(NUMDECIMAL, "5")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")

TOKEN(LPAREN, "(")

TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(VAR, "var")

TOKEN(ASSIGN, "=")

TOKEN(LPAREN, "(")
TOKEN(NUMDECIMAL, "3")
TOKEN(COMA, ",")
TOKEN(NUMDECIMAL, "5")
TOKEN(COMA, ",")
TOKEN(NUMDECIMAL, "50")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")

TOKEN(LPAREN, "(")

TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(VAR, "var")

TOKEN(ASSIGN, "=")

TOKEN(LPAREN, "(")
TOKEN(NUMDECIMAL, "30")
TOKEN(COMA, ",")
TOKEN(NUMDECIMAL, "5")
TOKEN(COMA, ",")
TOKEN(NUMDECIMAL, "50")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")

TOKEN(LPAREN, "(")

TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(VAR, "var")

TOKEN(ASSIGN, "=")

TOKEN(LPAREN, "(")
TOKEN(NUMDECIMAL, "80")
TOKEN(COMA, ",")
TOKEN(NUMDECIMAL, "5")
TOKEN(COMA, ",")
TOKEN(NUMDECIMAL, "50")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")

TOKEN(LPAREN, "(")

TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(SWITCH, "switch")
TOKEN(LPAREN, "(")

TOKEN(RPAREN, ")")
TOKEN(LBRACE, "{")
TOKEN(NUMDECIMAL, "25")
TOKEN(ASSIGN, "=")
TOKEN(MAYOR, ">")
TOKEN(LBRACE, "{")

TOKEN(LPAREN, "(")
TOKEN(STRING, "veinticinco")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(RBRACE, "}")
TOKEN(COMA, ",")
TOKEN(ELSE, "else")
TOKEN(ASSIGN, "=")
TOKEN(MAYOR, ">")
TOKEN(LBRACE, "{")

TOKEN(LPAREN, "(")
TOKEN(STRING, "otro valor")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")
TOKEN(RBRACE, "}")
TOKEN(COMA, ",")
TOKEN(RBRACE, "}")
TOKEN(VAR, "var")

TOKEN(ASSIGN, "=")
TOKEN(NUMDECIMAL, "0")
TOKEN(SEMICOL, ";")
TOKEN(WHILE, "while")
TOKEN(LPAREN, "(")

TOKEN(MENOR, "<")
TOKEN(NUMDECIMAL, "5")
TOKEN(RPAREN, ")")
TOKEN(LBRACE, "{")
TOKEN(VAR, "var")

TOKEN(ASSIGN, "=")

TOKEN(LPAREN, "(")

TOKEN(LCORCHETE, "[")

TOKEN(RCORCHETE, "]")
TOKEN(COMA, ",")
TOKEN(NUMDECIMAL, "20")
TOKEN(COMA, ",")
TOKEN(NUMDECIMAL, "60")
TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")

TOKEN(LPAREN, "(")

TOKEN(RPAREN, ")")
TOKEN(SEMICOL, ";")

TOKEN(ASSIGN, "=")

TOKEN(PLUS, "+")
TOKEN(NUMDECIMAL, "1")
TOKEN(SEMICOL, ";")
TOKEN(RBRACE, "}")
TOKEN(DEFER, "defer")


TOKEN(SEMICOL, ";")
TOKEN(RETURN, "return")
TOKEN(SEMICOL, ";")
TOKEN(RBRACE, "}")
TOKEN(END)

Scanner exitoso

